USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,combine_USAF_WBAN
692704,99999,MPRC-FT STEWART,US,GA,KQRC,+32.033,-081.667,+0018.0,19850125,20091215,69270499999
720120,63837,HILTON HEAD AIRPORT,US,SC,KHXD,+32.217,-080.700,+0007.3,20060101,20180620,72012063837
720120,99999,HILTON HEAD,US,SC,KHXD,+32.217,-080.700,+0006.0,20040904,20071231,72012099999
720168,99999,COVINGTON MUNI,US,TN,KM04,+35.583,-089.587,+0085.3,20170427,20180619,72016899999
720171,99999,WILLIAM L WHITEHURST FLD,US,TN,KM08,+35.214,-089.043,+0152.1,20160804,20180619,72017199999
720257,63835,EARLY COUNTY AIRPORT,US,GA,KBIJ,+31.397,-084.895,+0065.2,20060101,20180620,72025763835
720257,99999,EARLY CO,US,GA,KBIJ,+31.400,-084.900,+0065.0,20040525,20071231,72025799999
720263,63834,ELBERT CO-PATZ FLD AIRPORT,US,GA,K27A,+34.095,-082.816,+0183.8,20171004,20180620,72026363834
720263,99999,ELBERT CO PATZ FLD,US,GA,,+34.095,-082.816,+0183.8,20040525,20180322,72026399999
720264,63827,TAZEWELL COUNTY AIRPORT,US,VA,K6V3,+37.064,-081.798,+0808.3,20060101,20130430,72026463827
720264,99999,TAZEWELL COUNTY ARPT,US,VA,KJFZ,+37.067,-081.800,+0808.0,20040525,20071231,72026499999
720268,53882,DCATR CO INDUS AIRPK ARPT,US,GA,KBGE,+30.983,-084.633,+0043.0,20060101,20180620,72026853882
720268,99999,DECATUR CO INDUSTRI,US,GA,KBGE,+30.967,-084.633,+0043.0,19420917,20071231,72026899999
720278,03704,EMPORIA-GRENVLE RGNL ARPT,US,VA,KEMV,+36.687,-077.483,+0038.7,20060101,20180620,72027803704
720278,99999,EMPORIA GREENSVILLE,US,VA,KEMV,+36.687,-077.483,+0039.0,20040525,20071231,72027899999
720285,03734,MIDDLE PENINSULA REGIONAL AIRPORT,US,VA,KFYJ,+37.521,-076.765,+0007.3,20060101,20180620,72028503734
720285,99999,MIDDLE PENINSULA RGN,US,VA,KFYJ,+37.517,-076.767,+0007.0,20040525,20071231,72028599999
720289,63836,THOMSON-MCDUFFIE CO ARPT,US,GA,KHQU,+33.530,-082.516,+0151.8,20060101,20180620,72028963836
720289,99999,THOMSON MCDUFFIE CO,US,GA,KHQU,+33.533,-082.517,+0152.0,20040525,20071231,72028999999
720294,53898,WASHINGTON-WILKES CO ARPT,US,GA,KIIY,+33.780,-082.816,+0196.6,20061028,20180615,72029453898
720294,99999,WASHINGTON WILKES CO,US,GA,KIIY,+33.783,-082.817,+0197.0,20040525,20070520,72029499999
720297,03730,WILLIAMSBURG-JAMESTOWN APT,US,VA,KJGG,+37.239,-076.716,+0014.9,20060101,20180620,72029703730
720297,99999,WILLIAMSBURG,US,VA,KJGG,+37.233,-076.717,+0015.0,20040525,20071231,72029799999
720300,99999,WARNER-ROBINS(NEXRAD),US,GA,KJGX,+32.683,-083.350,+0159.0,20051224,20051224,72030099999
720301,63846,PLANTATION AIRPARK,US,GA,KJYL,+32.646,-081.596,+0057.3,20060101,20180620,72030163846
720301,99999,PLANTATION AIRPARK,US,GA,KJYL,+32.645,-081.596,+0057.0,20040525,20071231,72030199999
720317,03735,STAFFORD REGIONAL AIRPORT,US,VA,KRMN,+38.398,-077.456,+0064.6,20060101,20180620,72031703735
720317,99999,STAFFORD RGNL,US,VA,KRMN,+38.400,-077.450,+0064.0,20040525,20071231,72031799999
720347,63877,GREENE COUNTY REGIONAL AIRPORT,US,GA,K3J7,+33.598,-083.139,+0206.4,20060101,20180620,72034763877
720347,99999,GREENE COUNTY RGNL,US,GA,K3J7,+33.600,-083.133,+0206.0,20050427,20071231,72034799999
720348,63886,BALDWIN COUNTY AIRPORT,US,GA,KMLJ,+33.154,-083.241,+0117.0,20060101,20180620,72034863886
720348,99999,BALDWIN CO,US,GA,KMLJ,+33.154,-083.241,+0117.0,20050427,20071231,72034899999
720392,00128,HOMERVILLE AIRPORT,US,GA,KHOE,+31.056,-082.767,+0057.3,20130101,20180620,72039200128
720392,99999,HOMERVILLE,US,GA,KHOE,+31.056,-082.774,+0056.7,20070521,20180514,72039299999
720409,99999,BLAIRSVILLE AIRPORT,US,GA,KDZJ,+34.850,-083.983,+0582.0,20071228,20180619,72040999999
720498,00153,CHESTERFIELD COUNTY AIRPORT,US,VA,KFCI,+37.400,-077.517,+0072.2,20130101,20180620,72049800153
720498,99999,CHESTERFIELD AIRPORT,US,VA,KFCI,+37.400,-077.517,+0072.2,20100517,20180514,72049899999
